Zeit von [CET/CEST];Zeit bis [CET/CEST];Preis Erstveröffentlichung [EUR/MWh];Preis 15 min [EUR/MWh];Preis final [EUR/MWh],,,
01.01.2023 00:00:00;01.01.2023 00:15:00;-6,32;-6,32;-6,12
01.01.2023 00:15:00;01.01.2023 00:30:00;-2,94;22,01;14,85
01.01.2023 00:30:00;01.01.2023 00:45:00;0,93;1,42;0,66
01.01.2023 00:45:00;01.01.2023 01:00:00;-0,04;0,33;-0,5
01.01.2023 01:00:00;01.01.2023 01:15:00;-4,40;-2,96;563,86
01.01.2023 01:15:00;01.01.2023 01:30:00;-18,34;-17,43;-17,31
01.01.2023 01:30:00;01.01.2023 01:45:00;-15,06;-13,56;-12,96
01.01.2023 01:45:00;01.01.2023 02:00:00;-13,97;-12,53;-11,42
01.01.2023 02:00:00;01.01.2023 02:15:00;-6,60;-6,25;-4,88
01.01.2023 02:15:00;01.01.2023 02:30:00;-10,42;-10,00;-8,38
01.01.2023 02:30:00;01.01.2023 02:45:00;-39,62;-39,62;-40,32
01.01.2023 02:45:00;01.01.2023 03:00:00;-131,90;-131,90;-133,8
01.01.2023 03:00:00;01.01.2023 03:15:00;-60,90;-60,90;-56,62
01.01.2023 03:15:00;01.01.2023 03:30:00;-17,04;-17,04;-17,33
01.01.2023 03:30:00;01.01.2023 03:45:00;-36,36;-36,36;-36,14
01.01.2023 03:45:00;01.01.2023 04:00:00;-58,07;-58,07;-57,35
01.01.2023 04:00:00;01.01.2023 04:15:00;-20,34;-19,76;-21,16
01.01.2023 04:15:00;01.01.2023 04:30:00;-53,61;-53,61;-54,51
01.01.2023 04:30:00;01.01.2023 04:45:00;-34,33;-34,33;-33,75
01.01.2023 04:45:00;01.01.2023 05:00:00;-34,79;-34,79;-33,83
01.01.2023 05:00:00;01.01.2023 05:15:00;0,92;0,92;1,87
01.01.2023 05:15:00;01.01.2023 05:30:00;190,96;190,96;190,96
01.01.2023 05:30:00;01.01.2023 05:45:00;150,68;150,68;161,14
01.01.2023 05:45:00;01.01.2023 06:00:00;-27,88;-27,88;-24,89
01.01.2023 06:00:00;01.01.2023 06:15:00;-38,93;-38,93;-39,17
01.01.2023 06:15:00;01.01.2023 06:30:00;-32,94;-32,94;-32,68
01.01.2023 06:30:00;01.01.2023 06:45:00;-33,65;-33,65;-33,41
01.01.2023 06:45:00;01.01.2023 07:00:00;-34,12;-34,12;-34,14
01.01.2023 07:00:00;01.01.2023 07:15:00;-32,25;-32,25;-31,82
01.01.2023 07:15:00;01.01.2023 07:30:00;-41,44;-41,44;-41,66
01.01.2023 07:30:00;01.01.2023 07:45:00;-35,22;-35,22;-34,44
01.01.2023 07:45:00;01.01.2023 08:00:00;-58,78;-58,78;-60,28
01.01.2023 08:00:00;01.01.2023 08:15:00;-243,58;-243,58;-243,92
01.01.2023 08:15:00;01.01.2023 08:30:00;-185,03;-185,03;-184,69
01.01.2023 08:30:00;01.01.2023 08:45:00;-185,43;-185,43;-185,47
01.01.2023 08:45:00;01.01.2023 09:00:00;-127,32;-127,32;-126,60
01.01.2023 09:00:00;01.01.2023 09:15:00;239,06;239,06;227,85
01.01.2023 09:15:00;01.01.2023 09:30:00;142,63;142,63;142,25
01.01.2023 09:30:00;01.01.2023 09:45:00;131,01;131,01;132,81
01.01.2023 09:45:00;01.01.2023 10:00:00;-67,20;-67,20;-67,45
01.01.2023 10:00:00;01.01.2023 10:15:00;-102,33;-102,33;-102,22
01.01.2023 10:15:00;01.01.2023 10:30:00;-118,37;-118,37;-118,8
01.01.2023 10:30:00;01.01.2023 10:45:00;-101,29;-101,29;-101,66
01.01.2023 10:45:00;01.01.2023 11:00:00;-53,42;-53,42;-47,89
01.01.2023 11:00:00;01.01.2023 11:15:00;-10,75;-9,43;-10,84
01.01.2023 11:15:00;01.01.2023 11:30:00;-11,68;-9,52;-10,12
01.01.2023 11:30:00;01.01.2023 11:45:00;-11,42;-9,94;-9,42
01.01.2023 11:45:00;01.01.2023 12:00:00;-12,46;-11,03;-13,2
01.01.2023 12:00:00;01.01.2023 12:15:00;-17,06;-17,06;-14,88
01.01.2023 12:15:00;01.01.2023 12:30:00;-55,34;-55,34;-53,98
01.01.2023 12:30:00;01.01.2023 12:45:00;-12,34;-11,44;-11,0
01.01.2023 12:45:00;01.01.2023 13:00:00;-12,25;-11,22;-10,43
01.01.2023 13:00:00;01.01.2023 13:15:00;-93,60;-93,60;-94,84
01.01.2023 13:15:00;01.01.2023 13:30:00;-124,46;-124,46;-124,99
01.01.2023 13:30:00;01.01.2023 13:45:00;-87,53;-87,53;-65,47
